a800pal,336,225,H
a800xe,336,225,H
a800xl,336,225,H
a800xlp,336,225,H
aadvent,640,480,H
aafb,320,240,V
aafbb,320,240,V
aafbc,320,240,V
aafbd2p,320,240,V
aar_101,128,32,H
abacus,512,256,H
abaseb,304,240,H
abaseb2,304,240,H
abattle,256,256,V
abattle2,256,256,V
abc110,640,256,H
abc1600,958,1067,H
abc1600mover,958,1067,H
abc310,640,256,H
abc80,349,297,H
abc800c,480,480,H
abc800m,768,312,H
abc802,768,312,H
abc806,768,312,H
abcop,320,224,H
abcopd,320,224,H
abcopj,320,224,H
abcopjd,320,224,H
abigchs,256,256,H
abnudge,512,288,H
abnudgeb,512,288,H
abnudged,512,288,H
abnudgeo,512,288,H
abscam,288,224,V
abunai,512,240,H
aburner,320,224,H
aburner2,320,224,H
aburner2g,320,224,H
ac1,384,128,H
ac1_32,384,256,H
ac1scch,384,256,H
academy,100,20,H
ace,336,304,H
ace100,560,192,H
aceattac,320,224,H
aceattaca,320,224,V
acedrvrw,640,480,H
acefruit,512,256,V
acheart,320,256,H
acheartf,320,256,H
acitya,288,224,V
aclown,256,256,H
acombat,256,256,V
acombat3,256,256,V
acombato,256,256,V
acommand,256,224,H
acpsx,640,480,H
acrobatm,256,224,V
act2000,512,288,H
act2000b1,512,288,H
act2000bx,512,288,H
act2000d1,512,288,H
act2000dx,512,288,H
act2000o,512,288,H
act2000o2,512,288,H
act2000o3,512,288,H
act2000v1,512,288,H
act2000vx,512,288,H
actfanc1,256,240,H
actfancj,256,240,H
actfancr,256,240,H
actfancr1,256,240,H
actfancrj,256,240,H
actionhw,352,240,H
acw443,640,256,H
ad2083,256,224,V
adam,280,216,H
adders,504,296,H
adillor,640,480,H
adonis,320,224,H
adonis6,640,480,H
adonisa,640,400,H
adonise,640,400,H
adonishl,640,400,H
adustcm,640,480,H
advision,152,83,H
advsnha,192,262,H
aerfboo2,320,224,V
aerfboot,320,224,V
aeroboto,248,224,H
aerofgt,320,224,V
aerofgtb,320,224,V
aerofgtc,320,224,V
aerofgts,640,480,V
aerolitos,640,480,H
aes,320,224,H
afighter,320,224,V
afire,256,256,V
afm_10,512,128,H
afm_11,512,128,H
afm_113,512,128,H
afm_113b,512,128,H
afm_11u,512,128,H
aftrhrs,640,480,H
afv_l4,512,128,H
aga,640,200,H
agallet,320,240,V
agalleta,320,240,V
agalletah,320,240,V
agalletaj,320,240,V
agalletak,320,240,V
agalletat,320,240,V
agalletau,320,240,V
agalleth,320,240,V
agalletj,320,240,V
agalletk,320,240,V
agallett,320,240,V
agalletu,320,240,V
aga_pc200,640,200,H
agat7,560,192,H
agat9,560,192,H
agentx1,256,232,H
agentx2,256,232,H
agentx3,256,232,H
agentx4,256,232,H
agress,320,240,H
agressb,320,240,H
ai1000,192,32,H
ainferno,512,400,H
ainfernoj,512,400,H
airass,320,240,V
airattck,256,224,V
airattcka,256,224,V
airbustj,256,224,H
airbustr,256,224,H
